PFAM	Description	Type	Subset_Count	total_PFAMs_subset	total_genes_subset	Rest_Count	total_PFAMs_rest	total_genes_rest	Odds_ratio	P_Value	P_Value_Adj
PF21274	Aromatic-ring hydroxylase, C-terminal	Other	2	172	181	1	10809	10903	121.8101	0.0007870757784436441	1.0
PF01048	Phosphorylase superfamily	NLR-associated	2	172	181	2	10809	10903	60.8994	0.0015572226816200512	1.0
PF03055	Retinal pigment epithelial membrane protein	Other	2	172	181	3	10809	10903	40.5959	0.002567496013933652	1.0
PF01494	FAD binding domain	Other	4	172	181	34	10809	10903	7.2243	0.0032916788043571028	1.0
PF12796	Ankyrin repeats (3 copies)	NLR-associated	5	172	181	63	10809	10903	4.8882	0.004992130971473342	1.0
PF02668	Taurine catabolism dioxygenase TauD, TfdA family	Other	3	172	181	19	10809	10903	9.6546	0.00524832374428016	1.0
PF24883	NACHT domain	NLR-associated	4	172	181	44	10809	10903	5.5773	0.007648690402259883	1.0
PF06985	Heterokaryon incompatibility protein (HET)	NLR-associated	6	172	181	107	10809	10903	3.4593	0.010452004044227154	1.0
PF01734	Patatin-like phospholipase	NLR-associated	2	172	181	9	10809	10903	13.5245	0.013239266424260881	1.0
PF13424	Tetratricopeptide repeat	NLR-associated	2	172	181	10	10809	10903	12.1709	0.015718055698240144	1.0
PF17615	Family of unknown function	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF14602	Hexapeptide repeat of succinyl-transferase	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF02735	Ku70/Ku80 beta-barrel domain	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF07558	Shugoshin N-terminal coiled-coil region	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF25560	Domain of unknown function (DUF7932)	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF13353	4Fe-4S single cluster domain	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF08718	Glycolipid transfer protein (GLTP)	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF08654	DASH complex subunit Dad2	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF14021	Tuberculosis necrotizing toxin	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF03731	Ku70/Ku80 N-terminal alpha/beta domain	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF07557	Shugoshin C terminus	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF01762	Galactosyltransferase	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF13088	BNR repeat-like domain	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF04607	Region found in RelA / SpoT proteins	NLR-associated	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF04506	Rft protein	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF08785	Ku C terminal domain like	Other	1	172	181	0	10809	10903	inf	0.01632984482136413	1.0
PF13374	Tetratricopeptide repeat	NLR-associated	2	172	181	11	10809	10903	11.0635	0.018378471971373652	1.0
PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	Other	6	172	181	133	10809	10903	2.7764	0.026354328864821804	1.0
PF01544	CorA-like Mg2+ transporter protein	Other	2	172	181	14	10809	10903	8.6903	0.0273850445088955	1.0
PF13450	NAD(P)-binding Rossmann-like domain	Other	2	172	181	14	10809	10903	8.6903	0.0273850445088955	1.0
PF09363	XFP C-terminal domain	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF03098	Animal haem peroxidase	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF04502	Saf4/Yju2 protein	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF08309	LVIVD repeat	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF21895	MTHFR, SAM-binding regulatory domain	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF13664	Domain of unknown function (DUF4149)	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF02219	Methylenetetrahydrofolate reductase	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF09364	XFP N-terminal domain	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF09248	Domain of unknown function (DUF1965)	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF03894	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase	Other	1	172	181	1	10809	10903	60.5667	0.03239447516399095	1.0
PF00270	DEAD/DEAH box helicase	Other	3	172	181	40	10809	10903	4.5771	0.03279542579224963	1.0
PF08240	Alcohol dehydrogenase GroES-like domain	Other	3	172	181	42	10809	10903	4.3583	0.03683462261145898	1.0
PF04082	Fungal specific transcription factor domain	Other	4	172	181	78	10809	10903	3.1363	0.04501529459526535	1.0
PF00406	Adenylate kinase	Other	1	172	181	2	10809	10903	30.2806	0.04819817485676461	1.0
PF00614	Phospholipase D Active site motif	Other	1	172	181	2	10809	10903	30.2806	0.04819817485676461	1.0
PF24539	Domain of unknown function (DUF7600)	Other	1	172	181	2	10809	10903	30.2806	0.04819817485676461	1.0
PF13641	Glycosyltransferase like family 2	Other	1	172	181	2	10809	10903	30.2806	0.04819817485676461	1.0
PF13233	Complex1_LYR-like	Other	1	172	181	2	10809	10903	30.2806	0.04819817485676461	1.0
PF03403	Platelet-activating factor acetylhydrolase, isoform II	Other	1	172	181	2	10809	10903	30.2806	0.04819817485676461	1.0
PF06966	Protein of unknown function (DUF1295)	Other	1	172	181	2	10809	10903	30.2806	0.04819817485676461	1.0
PF02727	Copper amine oxidase, N2 domain	Other	1	172	181	2	10809	10903	30.2806	0.04819817485676461	1.0
PF02515	CoA-transferase family III	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF13959	ATP-dependent rRNA helicase SPB4-like, C-terminal extension	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF06011	Transient receptor potential (TRP) ion channel	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF10282	Lactonase, 7-bladed beta-propeller	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF00285	Citrate synthase, C-terminal domain	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF19086	Terpene synthase family 2, C-terminal metal binding	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF01341	Glycosyl hydrolases family 6	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF14558	ML-like domain	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF01179	Copper amine oxidase, enzyme domain	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF00355	Rieske [2Fe-2S] domain	Other	1	172	181	3	10809	10903	20.1852	0.06374515891514612	1.0
PF00023	Ankyrin repeat	NLR-associated	2	172	181	24	10809	10903	5.0647	0.06673489546293201	1.0
PF20238	Copper acquisition factor BIM1-like	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF04055	Radical SAM superfamily	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF24476	Domain of unknown function (DUF7580)	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
PF00587	tRNA synthetase class II core domain (G, H, P, S and T)	Other	1	172	181	4	10809	10903	15.1375	0.07903957464044922	1.0
