Locus	Type	Start	End	position	chr	infig	shapes	value
MAT	Other	7343525	7350526	7347025.5	chromosome_1	1	15	0
Centromere	Centromere	NA	NA	4479205	chromosome_1	1	19	0
Centromere	Centromere	NA	NA	236468.5	chromosome_2	1	19	0
Centromere	Centromere	NA	NA	675115.5	chromosome_3	1	19	0
Centromere	Centromere	NA	NA	1236388.5	chromosome_4	1	19	0
Centromere	Centromere	NA	NA	2062808.5	chromosome_5	1	19	0
Centromere	Centromere	NA	NA	238150	chromosome_6	1	19	0
Centromere	Centromere	NA	NA	3562141.5	chromosome_7	1	19	0
het-z	het	3955323	3965425	3960374	chromosome_1	0	17	0
het-r	NACHT	2681810	2684911	2683360.5	chromosome_2	1	24	0
het-d	NACHT	3055062	3058492	3056777	chromosome_2	1	4	0
het-s	NACHT	208504	209373	208938.5	chromosome_3	1	5	0
het-c	NACHT	495416	496159	495787.5	chromosome_3	1	6	0
het-b	het	958433	961001	959717	chromosome_3	1	14	0
nwd1	NACHT	3981492	3985639	3983565.5	chromosome_3	1	8	0
hnwd1	NACHT	438715	443388	441051.5	chromosome_4	1	12	0
het-e	NACHT	689736	692973	691354.5	chromosome_4	1	18	0
het-v	het	1291966	1296299	1294132.5	chromosome_5	1	25	0
nwd3	NACHT	1394142	1397756	1395949	chromosome_5	1	2	0
hnwd3	NACHT	714386	718521	716453.5	chromosome_7	1	9	0
het-q	het	3241754	3242590	3242172	chromosome_7	1	21	0
nwd5	NACHT	643506	646858	645182	chromosome_5	1	3	0
nwd4	NACHT	2610188	2610194	2610191	chromosome_5	1	22	0
nwd6	NACHT	3188133	3192540	3190336.5	chromosome_5	1	23	0
PaPnt1	NB-ARC	3386193	3388022	3387107.5	chromosome_5	1	13	0
HELLP	Other	3389017	3389566	3389291.5	chromosome_5	1	7	0
nwdp-2	NACHT	3689796	3693952	3691874	chromosome_3	1	13	0
Pa_2_8310	NACHT	3172937	3179260	3176098.5	chromosome_2	1	8	0
Pa_4_4680	NACHT	3604341	3607480	3605910.5	chromosome_4	1	13	0
Pa_5_8530	NACHT	3543427	3546869	3545148	chromosome_5	1	13	0
Pa_2_8450	NACHT	3224503	3228314	3226408.5	chromosome_2	1	13	0
Pa_7_10370	NACHT	3068052	3072380	3070216	chromosome_7	1	13	0
Pa_5_12630	NACHT	1138593	1141340	1139966.5	chromosome_5	1	13	0
Pa_6_1090	NACHT	2178782	2185331	2182056.5	chromosome_6	1	13	0
Pa_5_10920	NACHT	4473208	4477491	4475349.5	chromosome_5	1	13	0
Pa_5_7640	NACHT	3199896	3204934	3202415	chromosome_5	1	20	0
Pa_1_400	NACHT	196067	200545	198306	chromosome_1	1	13	0
Pa_3_9600	NACHT	3402398	3407755	3405076.5	chromosome_3	1	5	0
Pa_3_9890	NACHT	3514133	3518621	3516377	chromosome_3	1	3	0
Pa_4_1040	NACHT	361365	365561	363463	chromosome_4	1	13	0
Pa_1_7130	NACHT	2530693	2534453	2532573	chromosome_1	1	13	0
Pa_5_640+Pa_5_630	NACHT	841989	845624	843806.5	chromosome_5	1	13	0
Pa_2_8180	NACHT	3139780	3143499	3141639.5	chromosome_2	1	1	0
Pa_7_5020	NACHT	110958	114095	112526.5	chromosome_7	1	13	0
Pa_5_11700	NACHT	2417791	2421016	2419403.5	chromosome_5	1	13	0
Pa_1_10530	NACHT	3695010	3696659	3695834.5	chromosome_1	1	13	0
Pa_2_10310	NACHT	3838670	3841498	3840084	chromosome_2	1	13	0
Pa_6_2410+Pa_6_2405	NACHT	1755086	1760429	1757757.5	chromosome_6	1	13	0
Pa_4_6095+Pa_4_6090	NACHT	3143321	3146171	3144746	chromosome_4	1	13	0
Pa_7_3660	NACHT	543529	547124	545326.5	chromosome_7	1	13	0
Pa_3_8560	NACHT	3057531	3061219	3059375	chromosome_3	1	21	0
Pa_5_10133+Pa_5_10134	NACHT	4150042	4152951	4151496.5	chromosome_5	1	13	0
Pa_1_15290	NACHT	5406141	5410037	5408089	chromosome_1	1	13	0
Pa_5_8000	NACHT	3357609	3361280	3359444.5	chromosome_5	1	24	0
Pa_5_340	NACHT	956823	959814	958318.5	chromosome_5	1	13	0
Pa_6_7270	NACHT	2907963	2912380	2910171.5	chromosome_6	1	13	0
mod-A	Other	3686847	3688902	3687874.5	chromosome_4	0	7	0
idi-2	Other	1641584	1642114	1641849	chromosome_5	0	11	0
Spok2	Driver	1093200	1095527	1094363.5	chromosome_5	0	10	0
Spok3/4	Driver	NA	NA	355881	chromosome_3	0	1	0
Spok3/4	Driver	NA	NA	3328395.5	chromosome_5	0	1	0
Spok3/4	Driver	NA	NA	900387.5	chromosome_5	0	1	0
PaFnt1	NB-ARC	3521340	3523484	3522412	chromosome_3	1	22	0
HELLF	Other	3519452	3520549	3520000.5	chromosome_3	1	8	0
Pa_3_8170	NB-ARC	2893682	2897543	2895612.5	chromosome_3	1	23	0
Pa_2_10340	NB-ARC	3849471	3853717	3851594	chromosome_2	1	13	0
Pa_6_7950+Pa_6_7955	NB-ARC	3141385	3144127	3142756	chromosome_6	1	13	0
Pa_5_12660	NB-ARC	1314663	1319313	1316988	chromosome_5	1	13	0
Pa_5_7560	NB-ARC	2775296	2779919	2777607.5	chromosome_5	1	13	0
Pa_7_3550	NB-ARC	596048	600405	598226.5	chromosome_7	1	13	0
Pa_6_8850+Pa_6_8860	NB-ARC	3548058	3552690	3550374	chromosome_6	1	13	0
Pa_1_11370	NB-ARC	3950465	3954892	3952678.5	chromosome_1	1	13	0
Pa_2_4490+Pa_2_4500	NB-ARC	1941835	1946093	1943964	chromosome_2	1	13	0
Pa_5_8190+Pa_5_8200	NB-ARC	3445662	3450195	3447928.5	chromosome_5	1	25	0
PaPlp1	NB-ARC	3955323	3959755	3957539	chromosome_1	1	17	0
PaSec9	Other	3963529	3966359	3964944	chromosome_1	1	6	0
