Podan2_101032	Pa_1_1032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Podan2_101030	Pa_1_1030	NA	PF01636	Other	791d122ddb641aa316e7a20cf75c14dd	306	Pfam	PF01636	Phosphotransferase enzyme family	94	253	6.9E-8	T	27-08-2025	IPR002575	Aminoglycoside phosphotransferase	-	-
Podan2_0000030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Podan2_101010	Pa_1_1010	NA	PF00457	Other	2639a053fafc13447a833d100f60e350	230	Pfam	PF00457	Glycosyl hydrolases family 11	49	225	1.3E-77	T	27-08-2025	IPR033123	Glycosyl hydrolase 11 domain	-	-
Podan2_101000	Pa_1_1000	NA	PF04479	Other	cd4fc5ef4f727f6f442d2742dfdc5fd1	311	Pfam	PF04479	RTA1 like protein	86	291	2.4E-55	T	27-08-2025	IPR007568	RTA-like protein	-	-
Podan2_0000060	NA	NA	PF01522	Other	b5042d8469e5d5dfce49f27120818607	242	Pfam	PF01522	Polysaccharide deacetylase	77	116	8.9E-5	T	27-08-2025	IPR002509	NodB homology domain	-	-
Podan2_100980	Pa_1_980	NA	PF01494	Other	cd5099afbef57638505697622027b032	743	Pfam	PF01494	FAD binding domain	9	343	2.4E-14	T	27-08-2025	IPR002938	FAD-binding domain	-	-
Podan2_100970	Pa_1_970	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Podan2_100960	Pa_1_960	NA	PF07690	Other	9e263dc79887acc9866cf7fa4d974743	646	Pfam	PF07690	Major Facilitator Superfamily	137	341	2.8E-30	T	27-08-2025	IPR011701	Major facilitator superfamily	-	-
Podan2_0000100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Podan2_0000110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Podan2_0000120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Podan2_100940	Pa_1_940	NA	PF00620	Other	ced24fa124a43f776e281e8d1166f29a	794	Pfam	PF00620	RhoGAP domain	582	737	2.1E-12	T	27-08-2025	IPR000198	Rho GTPase-activating protein domain	-	-
Podan2_100930	Pa_1_930	NA	PF13847	Other	555948ce80fd9e8c2fcd618088fd2d94	211	Pfam	PF13847	Methyltransferase domain	43	150	0.0047	T	27-08-2025	IPR025714	Methyltransferase domain	-	-
Podan2_100920	Pa_1_920	NA	PF07366	Other	d3a35ae14f5f68d0d733b0cf681e24b8	378	Pfam	PF07366	SnoaL-like polyketide cyclase	253	368	4.4E-11	T	27-08-2025	IPR009959	Polyketide cyclase SnoaL-like	-	-
Podan2_100910	Pa_1_910	NA	PF00743	Other	a43d9335938c0dd715ac09b50a7291d3	493	Pfam	PF00743	Flavin-binding monooxygenase-like	165	278	1.8E-6	T	27-08-2025	IPR020946	Flavin monooxygenase-like	-	-
Podan2_100910	Pa_1_910	NA	PF00743	Other	a43d9335938c0dd715ac09b50a7291d3	493	Pfam	PF00743	Flavin-binding monooxygenase-like	291	404	1.6E-7	T	27-08-2025	IPR020946	Flavin monooxygenase-like	-	-
Podan2_100900	Pa_1_900	NA	PF04082	Other	f23d3cc75498414c017f05057d2fd641	921	Pfam	PF04082	Fungal specific transcription factor domain	280	464	6.5E-11	T	27-08-2025	IPR007219	Xylanolytic transcriptional activator, regulatory domain	-	-
