Gene_name	Gene_ID	chromosome	start	end	ATPase	Type
Pa_1_400	NLR001	chromosome_1	196067	200545	NACHT	NLR
Pa_1_7130	NLR002	chromosome_1	2530693	2534453	NACHT	NLR
Pa_1_10530	NLR003	chromosome_1	3695010	3696659	NACHT	NLR
Pa_1_15280+Pa_1_15290	NLR004	chromosome_1	5405028	5410037	NACHT	NLR
het-r	NLR005	chromosome_2	2681810	2684911	NACHT	NLR_HIC
het-d	NLR006	chromosome_2	3055062	3058492	NACHT	NLR_HIC
Pa_2_8180	NLR007	chromosome_2	3139607	3143916	NACHT	NLR_HIC
Pa_2_8310	NLR008	chromosome_2	3172937	3179260	NACHT	NLR
Pa_2_8450	NLR009	chromosome_2	3224503	3228314	NACHT	NLR
Pa_2_10310	NLR010	chromosome_2	3838398	3843144	NACHT	NLR
Pa_2_14110	NLR011	chromosome_2	4988055	4990119	NACHT	NLR
nwd2	NLR012	chromosome_3	209765	213198	NACHT	NLR_HIC
Pa_3_8560	NLR013	chromosome_3	3057531	3061219	NACHT	NLR_HIC
Pa_3_9600	NLR014	chromosome_3	3402398	3407755	NACHT	NLR
Pa_3_9890	NLR015	chromosome_3	3514133	3518621	NACHT	NLR
nwdp-2	NLR016	chromosome_3	3689796	3693952	NACHT	NLR_HIC
nwd1	NLR017	chromosome_3	3981492	3985639	NACHT	NLR_HIC
Pa_4_1040	NLR018	chromosome_4	360144	365831	NACHT	NLR
hnwd1	NLR019	chromosome_4	438715	443388	NACHT	NLR_HIC
het-e	NLR020	chromosome_4	689736	692973	NACHT	NLR_HIC
Pa_4_6095+Pa_4_6090	NLR021	chromosome_4	3143321	3145612	NACHT	NLR
Pa_4_4680	NLR022	chromosome_4	3602633	3607480	NACHT	NLR
nwd5	NLR023	chromosome_5	643506	646858	NACHT	NLR_HIC
Pa_5_630	NLR024	chromosome_5	841614	845624	NACHT	NLR
Pa_5_340	NLR025	chromosome_5	956823	959814	NACHT	NLR
Pa_5_12630	NLR026	chromosome_5	1138461	1142137	NACHT	NLR
nwd3	NLR027	chromosome_5	1393468	1397756	NACHT	NLR_HIC
Pa_5_11700	NLR028	chromosome_5	2417791	2421975	NACHT	NLR
nwd4	NLR029	chromosome_5	2609926	2615367	NACHT	NLR
nwd6	NLR030	chromosome_5	3188133	3192540	NACHT	NLR_HIC
Pa_5_7640	NLR031	chromosome_5	3199896	3205326	NACHT	NLR
Pa_5_8530	NLR032	chromosome_5	3543102	3547657	NACHT	NLR
Pa_5_8000	NLR033	chromosome_5	3357383	3361403	NACHT	NLR
Pa_5_10133+Pa_5_10134	NLR034	chromosome_5	4150042	4152951	NACHT	NLR
Pa_5_10920	NLR035	chromosome_5	4473208	4477648	NACHT	NLR
Pa_6_2410+Pa_6_2405	NLR036	chromosome_6	1755086	1760429	NACHT	NLR
Pa_6_1090	NLR037	chromosome_6	2178782	2186736	NACHT	NLR
Pa_6_7270	NLR038	chromosome_6	2907963	2912380	NACHT	NLR_HIC
Pa_7_5020	NLR039	chromosome_7	110958	114095	NACHT	NLR
Pa_7_3660	NLR040	chromosome_7	543332	547305	NACHT	NLR
hnwd3	NLR041	chromosome_7	714074	718993	NACHT	NLR_HIC
Pa_7_10370	NLR042	chromosome_7	3067480	3072989	NACHT	NLR_HIC
Pa_2_10340	NLR043	chromosome_2	3849471	3853717	NB-ARC	NLR_HIC
Pa_6_7950+Pa_6_7955	NLR044	chromosome_6	3141385	3144127	NB-ARC	NLR_HIC
Pa_5_12660	NLR045	chromosome_5	1314663	1319313	NB-ARC	NLR
Pa_5_7560	NLR046	chromosome_5	2775296	2779919	NB-ARC	NLR
