Ortholog	Type	Chr	Species	D_spp	dN	dS	dNdS
Pa_0_80	Random	6	pauciseta	0.006301	0.001635	0.021988	0.074363
Pa_0_80	Random	6	comata	0.005041	0.000000	0.021978	0.000000
Pa_0_80	Random	6	bellae-mahoneyi	0.007561	0.002451	0.024782	0.098915
Pa_0_80	Random	6	pseudoanserina	0.008822	0.001636	0.032922	0.049693
Pa_0_80	Random	6	pseudopauciseta	0.005671	0.000000	0.024703	0.000000
Pa_0_80	Random	6	pseudocomata	0.005671	0.000818	0.019231	0.042518
Pa_1_10380	Random	1	pauciseta	0.007765	0.003661	0.019897	0.184010
Pa_1_10380	Random	1	comata	0.011111	0.002920	0.035229	0.082887
Pa_1_10380	Random	1	bellae-mahoneyi	0.011628	0.005114	0.028551	0.179137
Pa_1_10380	Random	1	pseudoanserina	0.013843	0.002931	0.046632	0.062856
Pa_1_10380	Random	1	pseudopauciseta	0.013289	0.002936	0.044461	0.066047
Pa_1_10380	Random	1	pseudocomata	0.008319	0.003631	0.021794	0.166586
Pa_1_11160	Random	1	pauciseta	0.007576	0.003235	0.023022	0.140518
Pa_1_11160	Random	1	comata	0.006349	0.001618	0.022989	0.070388
Pa_1_11160	Random	1	bellae-mahoneyi	0.007634	0.002427	0.025874	0.093794
Pa_1_11160	Random	1	pseudoanserina	0.010101	0.004028	0.031534	0.127751
Pa_1_11160	Random	1	pseudopauciseta	0.008207	0.004011	0.022890	0.175241
Pa_1_11160	Random	1	pseudocomata	0.008838	0.004046	0.025850	0.156515
Pa_1_13070	Random	1	pauciseta	0.006691	0.003197	0.017819	0.179413
Pa_1_13070	Random	1	comata	0.010989	0.007199	0.022852	0.315025
Pa_1_13070	Random	1	bellae-mahoneyi	0.011557	0.007996	0.022881	0.349443
Pa_1_13070	Random	1	pseudoanserina	0.010341	0.003997	0.027990	0.142795
Pa_1_13070	Random	1	pseudopauciseta	0.010949	0.005596	0.025445	0.219904
Pa_1_13070	Random	1	pseudocomata	0.009174	0.005599	0.020322	0.275493
Pa_1_13790	Random	1	pauciseta	0.006928	0.002967	0.019802	0.149852
Pa_1_13790	Random	1	comata	0.007698	0.001977	0.026461	0.074712
Pa_1_13790	Random	1	bellae-mahoneyi	0.009238	0.002964	0.029801	0.099473
Pa_1_13790	Random	1	pseudoanserina	0.010728	0.004942	0.026475	0.186646
Pa_1_13790	Random	1	pseudopauciseta	0.009195	0.004890	0.019769	0.247351
Pa_1_13790	Random	1	pseudocomata	0.003805	0.000989	0.013209	0.074872
Pa_1_15090	Random	1	pauciseta	0.003436	0.001115	0.011243	0.099139
Pa_1_15090	Random	1	comata	0.009450	0.002228	0.033813	0.065879
Pa_1_15090	Random	1	bellae-mahoneyi	0.006873	0.002230	0.022444	0.099380
Pa_1_15090	Random	1	pseudoanserina	0.005155	0.001115	0.018692	0.059677
Pa_1_15090	Random	1	pseudopauciseta	0.007732	0.002231	0.026168	0.085252
Pa_1_15090	Random	1	pseudocomata	0.004296	0.000000	0.018703	0.000000
Pa_1_15780	Random	1	pauciseta	0.002469	0.000000	0.010638	0.000000
Pa_1_15780	Random	1	comata	0.006584	0.000000	0.028352	0.000000
Pa_1_15780	Random	1	bellae-mahoneyi	0.009053	0.004286	0.024837	0.172582
Pa_1_15780	Random	1	pseudoanserina	0.004950	0.000000	0.021302	0.000000
Pa_1_15780	Random	1	pseudopauciseta	0.003300	0.000000	0.014184	0.000000
Pa_1_15780	Random	1	pseudocomata	0.004963	0.000000	0.021277	0.000000
Pa_1_15810	Random	1	pauciseta	0.006108	0.001109	0.024523	0.045242
Pa_1_15810	Random	1	comata	0.010471	0.001109	0.045020	0.024635
Pa_1_15810	Random	1	bellae-mahoneyi	0.007853	0.000000	0.036785	0.000000
Pa_1_15810	Random	1	pseudoanserina	0.012216	0.000000	0.057299	0.000000
Pa_1_15810	Random	1	pseudopauciseta	0.011344	0.000000	0.053206	0.000000
Pa_1_15810	Random	1	pseudocomata	0.006981	0.000000	0.032698	0.000000
Pa_1_16990	Random	1	pauciseta	0.005507	0.003358	0.012516	0.268257
Pa_1_16990	Random	1	comata	0.006608	0.003358	0.017196	0.195295
Pa_1_16990	Random	1	bellae-mahoneyi	0.010646	0.004753	0.026391	0.180110
Pa_1_16990	Random	1	pseudoanserina	0.008811	0.002877	0.028191	0.102054
Pa_1_16990	Random	1	pseudopauciseta	0.009545	0.003819	0.028074	0.136031
Pa_1_16990	Random	1	pseudocomata	0.006975	0.002865	0.020265	0.141359
Pa_1_19800	Random	1	pauciseta	0.007099	0.003235	0.019565	0.165319
Pa_1_19800	Random	1	comata	0.008951	0.006057	0.018194	0.332915
Pa_1_19800	Random	1	bellae-mahoneyi	0.008642	0.004849	0.020829	0.232793
Pa_1_19800	Random	1	pseudoanserina	0.009877	0.006054	0.022121	0.273699
Pa_1_19800	Random	1	pseudopauciseta	0.008025	0.004038	0.020797	0.194145
Pa_1_19800	Random	1	pseudocomata	0.009568	0.005665	0.020815	0.272154
Pa_1_19870	Random	1	pauciseta	0.007375	0.002008	0.022212	0.090418
Pa_1_19870	Random	1	comata	0.006637	0.004019	0.013863	0.289886
Pa_1_19870	Random	1	bellae-mahoneyi	0.010324	0.004018	0.027739	0.144852
Pa_1_19870	Random	1	pseudoanserina	0.009587	0.004017	0.024977	0.160845
Pa_1_19870	Random	1	pseudopauciseta	0.008112	0.003013	0.022212	0.135628
Pa_1_19870	Random	1	pseudocomata	0.009587	0.003012	0.027791	0.108365
Pa_1_2130	Random	1	pauciseta	0.007725	0.003303	0.023377	0.141284
Pa_1_2130	Random	1	comata	0.010873	0.005503	0.029896	0.184079
Pa_1_2130	Random	1	bellae-mahoneyi	0.013162	0.005505	0.038961	0.141284
Pa_1_2130	Random	1	pseudoanserina	0.010014	0.003669	0.032482	0.112965
Pa_1_2130	Random	1	pseudopauciseta	0.010587	0.004771	0.031162	0.153101
