Ortholog	Species	Method	Ka	Ks	KaKs	p_val	Length	S_Sites	N_Sites	Fold_Sites	Substitutions	S_Substitutions	N_Substitutions	Fold_S_Substitutions	Fold_N_Substitutions	Divergence_Time	Substitution_Rate_Ratio	GC	ML_Score	AICc	Akaike_Weight	Model
Pa_0_80	bellae-mahoneyi	MA	0.002706	0.0276891	0.097728	4.95685e-05	1584	311.253	1272.75	NA	12	8.57375	3.42625	NA	NA	0.00761513	18.7161:23.0544:20.0174:20.2083:0.01:1	0.279773(0.273157:0.201323:0.364839)	-2138.75	NA	NA	NA
Pa_0_80	pseudoanserina	MA	0.00188494	0.0360571	0.0522766	2.95373e-07	1584	325.863	1258.14	NA	14	11.6488	2.35117	NA	NA	0.00891488	28.6779:30:21.6057:21.6057:0.01:1	0.279458(0.275992:0.201323:0.361059)	-2140.96	NA	NA	NA
Pa_0_80	pauciseta	MA	0.00158117	0.0285105	0.0554592	2.80207e-05	1584	279.675	1304.33	NA	10	7.94505	2.05495	NA	NA	0.00633588	6.37364:26.7987:5.55388:5.92129:0.01:1	0.279143(0.273157:0.202268:0.362004)	-2122.49	NA	NA	NA
Pa_0_80	pseudopauciseta	MA	2.75756e-05	0.0275756	0.001	0	1584	325.511	1258.49	NA	9	8.96534	0.0346617	NA	NA	0.00568868	29.9957:30:22.053:22.053:0.01:1	0.280403(0.275047:0.202268:0.363894)	-2110.24	NA	NA	NA
Pa_0_80	pseudocomata	MA	0.000798972	0.0283015	0.0282307	7.99039e-06	1584	287.25	1296.75	NA	9	7.98266	1.01734	NA	NA	0.00578642	8.78916:19.6428:16.3272:13.001:9.03809:1	0.279143(0.274102:0.201323:0.362004)	-2119.64	NA	NA	NA
Pa_0_80	comata	MA	2.50234e-05	0.0250234	0.001	0	1584	322.198	1261.8	NA	8	7.96879	0.0312077	NA	NA	0.00510989	4.85374:7.6293:1.76601:1.76601:0.01:1	0.21235(0.208885:0.157845:0.270321)	-2110.6	NA	NA	NA
Pa_1_10380	bellae-mahoneyi	MA	0.00542455	0.029766	0.18224	2.49514e-05	1803	486.822	1316.18	NA	21	14.0684	6.93158	NA	NA	0.0119969	2.64904:1.68476:1.02501:0.997124:0.697036:1	0.304113(0.3125:0.271104:0.328734)	-2536.68	NA	NA	NA
Pa_1_10380	pseudoanserina	MA	0.00323659	0.0465734	0.0694944	1.59884e-09	1803	469.33	1333.67	NA	25	20.8772	4.1228	NA	NA	0.0145174	3.90897:2.72837:2.29999:2.13422:2.04019:1	0.301136(0.309253:0.267045:0.32711)	-2549.29	NA	NA	NA
Pa_1_10380	pauciseta	MA	0.00383736	0.0198439	0.193377	0.0025031	1800	461.382	1338.62	NA	14	8.96833	5.03167	NA	NA	0.00794022	2.72115:2.75858:1.72868:1.67736:0.53061:1	0.302489(0.30763:0.269481:0.330357)	-2497.86	NA	NA	NA
Pa_1_10380	pseudopauciseta	MA	0.00326368	0.0405046	0.0805755	2.72811e-09	1803	520.092	1282.91	NA	24	20.0208	3.97923	NA	NA	0.0140062	6.28865:2.55962:1.95062:1.51668:1.177:1	0.300325(0.308442:0.267045:0.325487)	-2542.24	NA	NA	NA
Pa_1_10380	pseudocomata	MA	0.00390802	0.0223446	0.174898	0.000774552	1800	451.398	1348.6	NA	15	9.85204	5.14796	NA	NA	0.00853149	3.49195:3.78432:3.09504:3.07196:0.791509:1	0.305736(0.3125:0.275162:0.329545)	-2501.13	NA	NA	NA
Pa_1_10380	comata	MA	0.00325346	0.0343887	0.0946085	6.92454e-07	1797	472.424	1324.58	NA	20	15.807	4.193	NA	NA	0.0114388	8.26369:10.9293:3.61549:3.61549:0.01:1	0.202922(0.206981:0.176136:0.225649)	-2512.19	NA	NA	NA
Pa_1_11160	bellae-mahoneyi	MA	0.00272651	0.0238965	0.114097	0.000248571	1569	373.719	1195.28	NA	12	8.79173	3.20827	NA	NA	0.00776897	2.15809:1.978:1.19116:1.19116:0.141218:1	0.260652(0.265977:0.18985:0.326128)	-2177.95	NA	NA	NA
Pa_1_11160	pseudoanserina	MA	0.00466169	0.0294258	0.158422	0.00013498	1581	368.896	1212.1	NA	16	10.5226	5.47739	NA	NA	0.0104399	21.152:10.3154:21.2501:8.01508:13.6785:1	0.261591(0.270677:0.191729:0.322368)	-2213.55	NA	NA	NA
Pa_1_11160	pauciseta	MA	0.00378082	0.0229256	0.164917	0.000636931	1581	322.674	1258.33	NA	12	7.30316	4.69684	NA	NA	0.00768817	11.9246:13.8635:19.8417:14.7799:22.9998:1	0.260025(0.268797:0.190789:0.320489)	-2199.02	NA	NA	NA
Pa_1_11160	pseudopauciseta	MA	0.00438117	0.0229856	0.190605	0.00189956	1581	338.392	1242.61	NA	13	7.64742	5.35258	NA	NA	0.00836321	16.7157:14.8268:21.3156:13.9204:23.4398:1	0.262531(0.272556:0.191729:0.323308)	-2204.41	NA	NA	NA
Pa_1_11160	pseudocomata	MA	0.00432868	0.0254425	0.170136	0.0008801	1581	354.281	1226.72	NA	14	8.80999	5.19001	NA	NA	0.00906	25.8825:23.5502:26.8089:25.643:21.2226:1	0.260965(0.269737:0.191729:0.321429)	-2208.33	NA	NA	NA
Pa_1_11160	comata	MA	0.00211013	0.0199044	0.106013	0.000290364	1572	377.037	1194.96	NA	10	7.48507	2.51493	NA	NA	0.00637801	9.92723:10.3567:7.19431:7.19431:2.82404:1	0.236529(0.240602:0.175752:0.293233)	-2171.76	NA	NA	NA
Pa_1_13070	bellae-mahoneyi	MA	0.00834575	0.0244111	0.341884	0.0129092	1641	364.122	1276.88	NA	19	8.64071	10.3593	NA	NA	0.0119105	4.44318:4.19463:4.50563:4.40872:2.96865:1	0.305049(0.283759:0.269161:0.362226)	-2262	NA	NA	NA
Pa_1_13070	pseudoanserina	MA	0.00441888	0.0337805	0.130812	2.43651e-05	1641	363.035	1277.97	NA	17	11.64	5.36004	NA	NA	0.0109145	10.1039:5.5069:10.7576:9.32386:17.0646:1	0.305961(0.284672:0.269161:0.364051)	-2243.33	NA	NA	NA
Pa_1_13070	pauciseta	MA	0.00346846	0.0198371	0.174847	0.00255545	1641	344.5	1296.5	NA	11	6.6344	4.3656	NA	NA	0.00690477	6.97169:6.50743:10.1833:9.47041:16.0423:1	0.30444(0.283759:0.268248:0.361314)	-2214.19	NA	NA	NA
Pa_1_13070	pseudopauciseta	MA	0.00589738	0.0319404	0.184637	0.000294236	1641	353.613	1287.39	NA	18	10.7642	7.23576	NA	NA	0.0115093	9.07503:5.14137:11.4618:10.2771:20.8615:1	0.305961(0.285584:0.269161:0.363139)	-2250.69	NA	NA	NA
Pa_1_13070	pseudocomata	MA	0.00550941	0.0246979	0.223072	0.00107491	1632	342.606	1289.39	NA	15	8.15427	6.84573	NA	NA	0.00953767	1.92478:2.05309:1.98435:1.99401:2.06335:1	0.303224(0.282847:0.266423:0.360401)	-2229.37	NA	NA	NA
Pa_1_13070	comata	MA	0.00763827	0.0244737	0.312101	0.00752605	1635	357.057	1277.94	NA	18	8.50243	9.49757	NA	NA	0.0113149	9.29318:9.77751:11.8517:11.9524:8.23056:1	0.259732(0.249088:0.222628:0.307482)	-2246.29	NA	NA	NA
Pa_1_13790	bellae-mahoneyi	MA	0.00313332	0.0322919	0.0970313	1.48027e-05	1296	296.858	999.142	NA	12	9.04581	2.95419	NA	NA	0.00981228	4.71086:1.99826:2.84975:3.4157:0.01:1	0.270646(0.274775:0.19482:0.342342)	-1765.5	NA	NA	NA
Pa_1_13790	pseudoanserina	MA	0.00524247	0.034615	0.151451	0.00045009	1302	268.554	1033.45	NA	14	8.84501	5.15499	NA	NA	0.0113009	14.6821:10.3166:11.7074:16.551:4.58894:1	0.272898(0.274775:0.197072:0.346847)	-1787.11	NA	NA	NA
Pa_1_13790	pauciseta	MA	0.00302032	0.0264426	0.114221	0.00170583	1296	234.428	1061.57	NA	9	5.93184	3.06816	NA	NA	0.00725708	22.4535:21.9964:27.3425:26.6068:22.1202:1	0.272898(0.274775:0.197072:0.346847)	-1754.82	NA	NA	NA
Pa_1_13790	pseudopauciseta	MA	0.00501417	0.0281264	0.178273	0.00367556	1302	259.709	1042.29	NA	12	6.99519	5.00481	NA	NA	0.00962434	14.2539:11.7125:13.5431:18.5791:4.42362:1	0.276652(0.279279:0.197072:0.353604)	-1777.98	NA	NA	NA
Pa_1_13790	pseudocomata	MA	1.63709e-05	0.0163709	0.001	0	1311	255.74	1055.26	NA	4	3.98356	0.0164374	NA	NA	0.00320669	13.103:5.76081:20.7946:22.933:0.01:1	0.276652(0.277027:0.201577:0.351351)	-1737.49	NA	NA	NA
Pa_1_13790	comata	MA	0.00201515	0.0323003	0.062388	3.73894e-06	1296	259.621	1036.38	NA	10	8.00611	1.99389	NA	NA	0.00808201	3.34616:3.48247:3.38093:3.49561:0.01:1	0.206832(0.216216:0.154279:0.25)	-1757.4	NA	NA	NA
Pa_1_15090	bellae-mahoneyi	MA	0.00291201	0.0182392	0.159657	0.00566529	1161	308.119	852.881	NA	8	5.5481	2.4519	NA	NA	0.00697969	30:25.2625:19.5637:19.5637:0.01:1	0.271048(0.273196:0.228093:0.311856)	-1577.23	NA	NA	NA
