Ortholog	pauciseta	comata	bellae-mahoneyi	pseudoanserina	pseudopauciseta	pseudocomata
Pa_0_80	0.0063281256	0.005058715	0.0075989051	0.0088727733	0.0056923548000000004	0.005693475999999999
Pa_1_10380	0.0079619031	0.011386196	0.0156748419	0.015996865199999998	0.0141906135	0.0090935587
Pa_1_11160	0.0076002885999999995	0.0069846495	0.0082816517	0.0101371874	0.0082347392	0.0088765643
Pa_1_13070	0.006708602500000001	0.0110210792	0.0116197712	0.0103870892	0.0110063709	0.0091898177
Pa_1_13790	0.0069217901	0.0077007477	0.0092522448	0.0107553716	0.0092235327	0.0038140749
Pa_1_15090	0.0034453546	0.0094881502	0.0068939186999999996	0.0051744375	0.007757872399999999	0.0043048302
Pa_1_15780	0.0024727277	0.0066201237	0.0091275544	0.0049579889999999995	0.003307036	0.0049758704
Pa_1_15810	0.0061498453	0.0105435941	0.0079098066	0.012345882899999999	0.011444363499999999	0.0070049243
Pa_1_16990	0.0055300137	0.0066373543	0.0106861628	0.0095796493	0.0103311567	0.0069910095
Pa_1_19800	0.0073453707	0.0091869512	0.0094964169	0.0101920003	0.008626753000000001	0.0098140189
Pa_1_19870	0.007631054	0.006938237999999999	0.0113718753	0.0098445831	0.0083749296	0.0099107667
Pa_1_2130	0.0077530348	0.0109259101	0.0132363617	0.0100523687	0.0106341346	0.008899933499999998
Pa_1_21770	2e-06	0.006908093099999999	0.012878440900000001	0.0068872692	0.0078750025	NA
Pa_1_23870	0.0075938665	0.0102629808	0.010718738200000001	0.0093684754	0.0107106958	0.006237429
Pa_1_24450	0.0116854018	0.0151346395	0.0217930321	0.0201894341	0.0201933906	0.015157929400000002
Pa_1_2740	0.008691306	0.0065047669	0.0092355345	0.004877265899999999	0.0043335014	0.0043322337
Pa_1_410	0.0136561301	0.0115713128	0.0153365339	0.013231570199999999	0.0124027407	0.0128133885
Pa_1_5130	0.0056447608	0.0050302161	0.0069578980000000006	0.011423694	0.009555968	0.0108334474
Pa_1_5700	0.0066858832	0.0098449888	0.0110328333	0.0102349623	0.0122164479	0.011038016800000001
Pa_2_10990	0.0129077087	0.0139103151	0.0199773278	0.014906940899999999	0.0179265737	0.0119115677
Pa_2_11200	0.0044648032	0.0035698792	0.0035678808	0.0053536713	0.0044652497	0.0035698782000000004
Pa_2_1170	0.0116295018	0.008479121999999999	0.0116080346	0.0092515428	0.0108126489	0.0132392278
Pa_2_13990	0.004764441100000001	0.009016510799999999	0.0149287788	0.0079496698	0.007418380699999999	0.0047634411
Pa_2_14140	0.004755832	0.0087274858	0.008730410000000001	0.006338227500000001	0.0071355369	0.0071339425000000005
Pa_2_3000	0.0039012803	0.0102652997	0.0097622256	0.0092762409	0.010755510999999999	0.0092814872
Pa_2_3545	0.0112204882	0.0158234802	0.019278766500000002	0.0170965036	0.017091606500000002	0.019283823800000002
Pa_2_7080	0.0087890461	0.0106809241	0.01320846	0.0100422591	0.011299669799999999	0.009418266
Pa_2_7130	0.0046962083	0.0061655345	0.00558088	0.0046956001	0.004400398099999999	0.006461632699999999
Pa_2_800	0.007097022600000001	0.007098515	0.007716688100000001	0.0055527322	0.0067838597	0.0070983382
Pa_2_8165	0.011407701400000001	0.012415579900000001	0.014415303899999999	0.015398817799999999	0.013451681699999999	0.013417193300000001
Pa_2_9380	0.0056449357	0.0063883902999999995	0.0120890451	0.0075150095	0.0078968019	0.0071471563
Pa_2_9940	0.0076965569	0.0069218430000000004	0.0038429794	0.0046126667	0.0046122323	0.0069266186
Pa_3_11050	0.0079436505	0.0183149171	0.0265216731	0.0182532006	0.019409713000000002	0.015753872000000002
Pa_3_11150	0.0118177839	0.014910519899999999	0.0170484333	0.0217824889	0.024384422	NA
Pa_3_11440	0.0221303307	0.0212699081	0.0279500334	0.0202084594	0.024798075699999998	0.0209987596
Pa_3_11500	0.0081817798	0.012480500799999999	0.0184080539	0.016039245799999997	0.0135502986	0.0106708743
Pa_3_1600	0.0102307349	0.011293602199999999	0.008506851000000001	0.0115754202	0.0122385433	0.0094116366
Pa_3_2640	0.0347129556	0.0384865644	0.0390313283	0.0393540967	0.036805875	NA
Pa_3_4200	0.0044177387	0.0078765082	0.0057106528	0.0066761754	0.0088319176	0.0049961025
Pa_3_4260	0.0096555561	0.013206822699999999	0.011127845800000001	0.0100204709	0.009286922199999999	0.0130505633
Pa_3_5080	0.0039888206	0.0048777333	0.007999403	0.0079982151	0.008444570200000001	0.007098912
Pa_3_5390	0.0213720798	0.013555068699999999	0.014520471100000001	0.016454168499999998	0.0154911581	0.009679893
Pa_3_5460	0.0129772148	0.0123805431	0.0159393992	0.011186173300000001	0.0123727824	0.0088223538
Pa_3_5540	0.015425093099999999	0.0083416008	0.0167223017	0.0186385476	0.0173697285	0.0134824015
Pa_3_7600	0.0091903266	0.0118300286	0.0085433597	0.0098479414	0.011156099	0.013139897599999999
Pa_3_8350	0.005419168	0.0091075227	0.0201128699	0.007318346999999999	0.0067072933	0.0084256422
Pa_3_8630	0.0090353012	0.0093365615	0.013543452899999999	0.0165059561	0.014001922299999999	0.012344358
Pa_3_9200	0.0084546676	0.012973827600000001	0.0129690804	0.010943689199999999	0.011446834	0.0114905801
Pa_4_1100	0.0038568475	0.0006403786	0.0319974534	0.024873864000000002	0.027700056800000004	0.025327133800000002
Pa_4_2540	0.0113118505	0.0107006238	0.016112278600000002	0.0113186581	0.010718644999999999	0.0083205781
Pa_4_280	0.0133120573	0.0183488455	0.0144392798	0.026181819199999998	0.0301330839	0.0166534447
Pa_4_290	0.0084603756	0.0084563725	0.010189230300000001	0.0110169799	0.012703022100000001	0.008462226
Pa_4_3470	0.008839651399999999	0.0079335694	0.0123531864	0.0105818838	0.0114637229	0.0096982652
Pa_4_7380	0.0056849042	0.006949694	0.0095013786	0.0091747035	0.0079069529	0.0082210157
Pa_4_7600	0.0081448868	0.0075733250000000005	0.0125162499	0.0118031235	0.0118511251	0.0097145677
Pa_5_10620	NA	0.0500476978	NA	0.0470127883	0.0428334949	0.0412264611
Pa_5_10740	0.0262428366	0.030558868700000005	0.0434748524	0.035184728600000006	0.033183670000000005	NA
Pa_5_11550	0.0027848977	0.0027904472000000002	0.0083934396	0.0037165328	0.0046518397	0.0046186384
Pa_5_11813	0.0408912102	0.030294018	0.0348563019	0.0321680675	NA	0.033466990099999996
Pa_5_12300	0.0181116529	0.0285056296	0.0260021775	0.0174741384	0.0151039577	0.032085345200000004
Pa_5_1270	0.0221113905	0.0115459617	0.0175111427	0.011347207599999999	0.013067543899999999	0.012250666399999999
