Strain,Assembly,Species,Repeat_content,TE_content,Size,No_genes,Obvious_Orthologs,HET,HET_ortholog,NACHT,NACHT_ortholog,NB-ARC,NB-ARC_ortholog
S+,Podan2,P. anserina,4.664,3.197,35010595,11655,10168,121,104,65,51,9,7
Wa63+,PaWa63p,P. anserina,6.254,4.767,35766879,11680,10086,119,103,66,52,9,4
Wa137-,PaWa137m,P. anserina,6.072,4.614,35861834,11688,10089,122,105,66,50,9,4
Wa139-,PcWa139m,P. comata,3.785,2.323,34474293,11379,9788,123,89,58,44,11,5
Td+,PODCO,P. comata,3.068,1.531,34302724,11404,9754,121,87,61,42,11,4
CBS237.71-,CBS237.71m,P. pauciseta,6.073,4.644,35487279,11305,9884,120,98,62,51,9,2
CBS124.78+,CBS124.78p,P. pseudoanserina,4.889,3.443,34811088,11131,9728,110,85,52,40,10,2
CBS411.78-,CBS411.78m,P. pseudopauciseta,7.138,5.703,36064112,11155,9765,109,85,49,36,10,3
CBS415.72-,CBS415.72m,P. pseudocomata,4.836,3.427,34981282,11322,9796,123,82,77,35,24,1
IMI230595-,IMI230595m,P. pseudocomata,4.705,3.242,34767643,11291,9816,124,87,76,36,33,1
CBS112042+,CBS112042p,P. bellae-mahoneyi,4.269,2.804,34330348,11033,9588,99,77,53,37,6,1
