Strain	No_genes	Obvious_Orthologs	HET	HET_ortholog	NACHT	NACHT_ortholog	NB-ARC	NB-ARC_ortholog
PaWa21m	11693	10097	122	105	67	52	9	3
PaWa28m	11727	10105	122	106	67	52	9	2
PaWa46p	11654	10067	123	104	66	48	8	3
PaWa53m	11701	10108	120	101	67	51	9	3
PaWa58m	11703	10105	122	104	65	51	9	3
PaWa63p	11680	10086	119	103	66	52	9	4
PaWa87p	11708	10115	122	105	66	50	9	4
PaWa100p	11699	10113	121	106	66	52	9	4
PaWa137m	11688	10089	122	105	66	50	9	4
PaYp	11690	9966	122	101	64	48	9	4
PaTgp	11711	10068	121	102	67	47	9	3
PaZp	11017	9532	117	97	67	51	8	3
PcWa139m	11379	9788	123	89	58	44	11	5
CBS237.71m	11305	9884	120	98	62	51	9	2
CBS124.78p	11131	9728	110	85	52	40	10	2
CBS411.78m	11155	9765	109	85	49	36	10	3
CBS415.72m	11322	9796	123	82	77	35	24	1
CBS112042p	11033	9588	99	77	53	37	6	1
IMI230595m	11291	9816	124	87	76	36	33	1
