Ortholog	Type	Chr	avgGC	TajimasD	Pi_anserina	piN	piS	piNpiS	sites_S	num_sites_S	sites_NS	num_sites_NS	N_seqs	nseff	lseff
Pa_0_80	Random	6	0.560176	NA	0.00000000	0.000000	0.000000	0.000000	0	364	0	1223	13	13.000000	1587
Pa_1_10380	Random	1	0.616833	-1.468006	0.00017037	0.000113	0.000343	0.330173	0	448	0	1358	13	13.000000	1806
Pa_1_11160	Random	1	0.525155	-1.468006	0.00019425	0.000249	0.000000	NA	0	348	0	1236	13	13.000000	1584
Pa_1_13070	Random	1	0.609489	NA	0.00000000	0.000000	0.000000	0.000000	0	393	0	1251	13	13.000000	1644
Pa_1_13790	Random	1	0.560140	NA	0.00000000	0.000000	0.000000	0.000000	0	305	0	1018	13	12.913832	1323
Pa_1_15090	Random	1	0.542096	NA	0.00000000	0.000000	0.000000	0.000000	0	267	0	897	13	13.000000	1164
Pa_1_15780	Random	1	0.559671	-1.149147	0.00012662	0.000165	0.000000	NA	0	282	0	933	13	13.000000	1215
Pa_1_15810	Random	1	0.573298	NA	0.00000000	0.000000	0.000000	0.000000	0	245	0	901	13	13.000000	1146
Pa_1_16990	Random	1	0.599768	-1.652312	0.00016943	0.000074	0.000482	0.153205	0	639	0	2085	13	13.000000	2724
Pa_1_19800	Random	1	0.575451	0.454677	0.00045109	0.000591	0.000000	NA	0	767	1	2473	13	13.000000	3240
Pa_1_19870	Random	1	0.578909	-1.149147	0.00011346	0.000000	0.000427	0.000000	0	360	0	996	13	13.000000	1356
Pa_1_2130	Random	1	0.552173	-1.233005	0.00016874	0.000113	0.000366	0.308797	0	771	0	2724	13	13.000000	3495
Pa_1_21770	Random	1	0.526848	-1.962871	0.00578180	0.004286	0.010742	0.398996	3	236	3	784	13	13.000000	1020
Pa_1_23870	Random	1	0.511966	-1.468006	0.00013675	0.000089	0.000298	0.297789	0	516	0	1734	13	13.000000	2250
Pa_1_24450	Random	1	0.533900	-1.652312	0.00014446	0.000189	0.000000	NA	0	757	0	2438	13	12.999687	3195
Pa_1_2740	Random	1	0.559697	NA	0.00000000	0.000000	0.000000	0.000000	0	420	0	1431	13	13.000000	1851
Pa_1_410	Random	1	0.558893	-1.684884	0.00043209	0.000482	0.000350	1.375148	0	571	1	1862	13	12.998356	2433
Pa_1_5130	Random	1	0.537373	0.425595	0.00023654	0.000304	0.000000	NA	0	363	0	1263	13	13.000000	1626
Pa_1_5700	Random	1	0.540754	0.127042	0.00078431	0.000606	0.001356	0.447140	1	605	1	1945	13	13.000000	2550
Pa_2_10990	Random	2	0.600440	-1.468006	0.00030344	0.000204	0.000589	0.347210	0	261	0	753	13	13.000000	1014
Pa_2_11200	Random	2	0.568000	NA	0.00000000	0.000000	0.000000	0.000000	0	259	0	866	13	13.000000	1125
Pa_2_1170	Random	2	0.557047	NA	0.00000000	0.000000	0.000000	0.000000	0	324	0	1017	13	13.000000	1341
Pa_2_13990	Random	2	0.544151	-1.149147	0.00008127	0.000000	0.000353	0.000000	0	436	0	1457	13	13.000000	1893
Pa_2_14140	Random	2	0.586888	NA	0.00000000	0.000000	0.000000	0.000000	0	307	0	959	13	13.000000	1266
Pa_2_3000	Random	2	0.576774	NA	0.00000000	0.000000	0.000000	0.000000	0	490	0	1568	13	13.000000	2058
Pa_2_3545	Random	2	0.542961	-1.149147	0.00011271	0.000000	0.000503	0.000000	0	306	0	1059	13	12.951648	1365
Pa_2_7080	Random	2	0.529081	NA	0.00000000	0.000000	0.000000	0.000000	0	370	0	1229	13	13.000000	1599
Pa_2_7130	Random	2	0.551845	-1.468006	0.00009013	0.000060	0.000177	0.341130	0	868	0	2546	13	13.000000	3414
Pa_2_800	Random	2	0.567627	-1.149147	0.00004731	0.000000	0.000195	0.000000	0	789	0	2463	13	13.000000	3252
Pa_2_8165	Random	2	0.522393	-1.652312	0.00022792	0.000201	0.000313	0.640112	0	491	0	1534	13	13.000000	2025
Pa_2_9380	Random	2	0.601700	0.096644	0.00024969	0.000000	0.001076	0.000000	1	620	0	2050	13	13.000000	2670
Pa_2_9940	Random	2	0.587739	1.661294	0.00078593	0.000501	0.001819	0.275500	1	282	1	1023	13	13.000000	1305
Pa_3_11050	Random	3	0.530522	NA	0.00000000	0.000000	0.000000	0.000000	0	1074	0	3693	13	13.000000	4767
Pa_3_11150	Random	3	0.562150	0.096644	0.00028201	0.000370	0.000000	NA	0	560	1	1804	13	13.000000	2364
Pa_3_11440	Random	3	0.579817	-1.684884	0.00025679	0.000239	0.000314	0.760300	0	979	1	3113	13	13.000000	4094
Pa_3_11500	Random	3	0.563176	-1.468006	0.00010899	0.000000	0.000442	0.000000	0	696	0	2127	13	13.000000	2823
Pa_3_1600	Random	3	0.568350	NA	0.00000000	0.000000	0.000000	0.000000	0	787	0	2600	13	13.000000	3387
Pa_3_2640	Random	3	0.530253	-1.512966	0.00055006	0.000480	0.000775	0.619387	0	287	0	925	9	9.000000	1212
Pa_3_4200	Random	3	0.582621	NA	0.00000000	0.000000	0.000000	0.000000	0	316	0	1088	13	13.000000	1404
Pa_3_4260	Random	3	0.580623	-1.451383	0.00011659	0.000077	0.000242	0.317714	0	689	0	2170	12	12.000000	2859
Pa_3_5080	Random	3	0.539183	-0.462159	0.00024060	0.000000	0.001102	0.000000	1	489	0	1749	13	13.000000	2238
Pa_3_5390	Random	3	0.544242	-1.149147	0.00014821	0.000000	0.000655	0.000000	0	235	0	803	13	13.000000	1038
Pa_3_5460	Random	3	0.538101	-0.394391	0.00049570	0.000000	0.002105	0.000000	1	402	0	1305	13	13.000000	1707
Pa_3_5540	Random	3	0.503144	-1.149147	0.00009824	0.000127	0.000000	NA	0	359	0	1207	13	13.000000	1566
Pa_3_7600	Random	3	0.564706	NA	0.00000000	0.000000	0.000000	0.000000	0	349	0	1181	13	13.000000	1530
Pa_3_8350	Random	3	0.540704	-0.829057	0.00058415	0.000424	0.001092	0.388697	0	399	1	1269	13	12.998201	1668
Pa_3_8630	Random	3	0.593200	-1.149147	0.00012569	0.000000	0.000491	0.000000	0	313	0	911	13	13.000000	1224
Pa_3_9200	Random	3	0.589021	NA	0.00000000	0.000000	0.000000	0.000000	0	472	0	1550	13	13.000000	2022
