Ortholog	Species	Check
Pa_0_80	anserina	Monophyletic
Pa_0_80	pauciseta	Monophyletic
Pa_0_80	comata	Monophyletic
Pa_0_80	pseudoanserina	Monophyletic
Pa_0_80	All	Monophyletic
Pa_1_10380	anserina	Monophyletic
Pa_1_10380	pauciseta	Monophyletic
Pa_1_10380	comata	Monophyletic
Pa_1_10380	pseudoanserina	Monophyletic
Pa_1_10380	All	Monophyletic
Pa_1_11160	anserina	Monophyletic
Pa_1_11160	pauciseta	Monophyletic
Pa_1_11160	comata	Monophyletic
Pa_1_11160	pseudoanserina	Monophyletic
Pa_1_11160	All	Monophyletic
Pa_1_13070	anserina	Monophyletic
Pa_1_13070	pauciseta	Monophyletic
Pa_1_13070	comata	Monophyletic
Pa_1_13070	pseudoanserina	Monophyletic
Pa_1_13070	All	Monophyletic
Pa_1_13790	anserina	Monophyletic
Pa_1_13790	pauciseta	Monophyletic
Pa_1_13790	comata	Monophyletic
Pa_1_13790	pseudoanserina	Monophyletic
Pa_1_13790	All	Monophyletic
Pa_1_15090	anserina	Monophyletic
Pa_1_15090	pauciseta	Monophyletic
Pa_1_15090	comata	Monophyletic
Pa_1_15090	pseudoanserina	Not_monophyletic
Pa_1_15090	All	Not_monophyletic
Pa_1_15780	anserina	Monophyletic
Pa_1_15780	pauciseta	Monophyletic
Pa_1_15780	comata	Monophyletic
Pa_1_15780	pseudoanserina	Monophyletic
Pa_1_15780	All	Monophyletic
Pa_1_15810	anserina	Monophyletic
Pa_1_15810	pauciseta	Monophyletic
Pa_1_15810	comata	Monophyletic
Pa_1_15810	pseudoanserina	Monophyletic
Pa_1_15810	All	Monophyletic
Pa_1_16990	anserina	Monophyletic
Pa_1_16990	pauciseta	Monophyletic
Pa_1_16990	comata	Monophyletic
Pa_1_16990	pseudoanserina	Monophyletic
Pa_1_16990	All	Monophyletic
Pa_1_19800	anserina	Monophyletic
Pa_1_19800	pauciseta	Monophyletic
Pa_1_19800	comata	Monophyletic
Pa_1_19800	pseudoanserina	Monophyletic
Pa_1_19800	All	Monophyletic
Pa_1_19870	anserina	Monophyletic
Pa_1_19870	pauciseta	Monophyletic
Pa_1_19870	comata	Monophyletic
Pa_1_19870	pseudoanserina	Monophyletic
Pa_1_19870	All	Monophyletic
Pa_1_2130	anserina	Monophyletic
Pa_1_2130	pauciseta	Monophyletic
Pa_1_2130	comata	Monophyletic
Pa_1_2130	pseudoanserina	Monophyletic
Pa_1_2130	All	Monophyletic
Pa_1_21770	anserina	Not_monophyletic
Pa_1_21770	pauciseta	Not_monophyletic
Pa_1_21770	comata	Monophyletic
Pa_1_21770	pseudoanserina	Monophyletic
Pa_1_21770	All	Not_monophyletic
Pa_1_23870	anserina	Monophyletic
Pa_1_23870	pauciseta	Monophyletic
Pa_1_23870	comata	Monophyletic
Pa_1_23870	pseudoanserina	Monophyletic
Pa_1_23870	All	Monophyletic
Pa_1_24450	anserina	Monophyletic
Pa_1_24450	pauciseta	Monophyletic
Pa_1_24450	comata	Monophyletic
Pa_1_24450	pseudoanserina	Monophyletic
Pa_1_24450	All	Monophyletic
Pa_1_2740	anserina	Monophyletic
Pa_1_2740	pauciseta	Monophyletic
Pa_1_2740	comata	Monophyletic
Pa_1_2740	pseudoanserina	Monophyletic
Pa_1_2740	All	Monophyletic
Pa_1_410	anserina	Monophyletic
Pa_1_410	pauciseta	Monophyletic
Pa_1_410	comata	Monophyletic
Pa_1_410	pseudoanserina	Monophyletic
Pa_1_410	All	Monophyletic
Pa_1_5130	anserina	Monophyletic
Pa_1_5130	pauciseta	Monophyletic
Pa_1_5130	comata	Monophyletic
Pa_1_5130	pseudoanserina	Monophyletic
Pa_1_5130	All	Monophyletic
Pa_1_5700	anserina	Monophyletic
Pa_1_5700	pauciseta	Monophyletic
Pa_1_5700	comata	Monophyletic
Pa_1_5700	pseudoanserina	Monophyletic
Pa_1_5700	All	Monophyletic
Pa_2_10990	anserina	Monophyletic
Pa_2_10990	pauciseta	Monophyletic
Pa_2_10990	comata	Monophyletic
Pa_2_10990	pseudoanserina	Monophyletic
Pa_2_10990	All	Monophyletic
Pa_2_11200	anserina	Monophyletic
Pa_2_11200	pauciseta	Monophyletic
Pa_2_11200	comata	Monophyletic
Pa_2_11200	pseudoanserina	Monophyletic
Pa_2_11200	All	Monophyletic
Pa_2_1170	anserina	Monophyletic
Pa_2_1170	pauciseta	Monophyletic
Pa_2_1170	comata	Monophyletic
Pa_2_1170	pseudoanserina	Monophyletic
Pa_2_1170	All	Monophyletic
Pa_2_13990	anserina	Monophyletic
Pa_2_13990	pauciseta	Monophyletic
Pa_2_13990	comata	Monophyletic
Pa_2_13990	pseudoanserina	Monophyletic
Pa_2_13990	All	Monophyletic
Pa_2_14140	anserina	Monophyletic
Pa_2_14140	pauciseta	Monophyletic
Pa_2_14140	comata	Monophyletic
Pa_2_14140	pseudoanserina	Monophyletic
Pa_2_14140	All	Monophyletic
Pa_2_3000	anserina	Monophyletic
Pa_2_3000	pauciseta	Monophyletic
Pa_2_3000	comata	Monophyletic
Pa_2_3000	pseudoanserina	Monophyletic
Pa_2_3000	All	Monophyletic
Pa_2_3545	anserina	Monophyletic
Pa_2_3545	pauciseta	Monophyletic
Pa_2_3545	comata	Monophyletic
Pa_2_3545	pseudoanserina	Monophyletic
Pa_2_3545	All	Monophyletic
Pa_2_7080	anserina	Monophyletic
Pa_2_7080	pauciseta	Monophyletic
Pa_2_7080	comata	Monophyletic
Pa_2_7080	pseudoanserina	Monophyletic
Pa_2_7080	All	Monophyletic
Pa_2_7130	anserina	Monophyletic
Pa_2_7130	pauciseta	Monophyletic
Pa_2_7130	comata	Monophyletic
Pa_2_7130	pseudoanserina	Monophyletic
Pa_2_7130	All	Monophyletic
Pa_2_800	anserina	Monophyletic
Pa_2_800	pauciseta	Monophyletic
Pa_2_800	comata	Monophyletic
Pa_2_800	pseudoanserina	Monophyletic
Pa_2_800	All	Monophyletic
Pa_2_8165	anserina	Monophyletic
Pa_2_8165	pauciseta	Monophyletic
Pa_2_8165	comata	Monophyletic
Pa_2_8165	pseudoanserina	Not_monophyletic
Pa_2_8165	All	Not_monophyletic
Pa_2_9380	anserina	Monophyletic
Pa_2_9380	pauciseta	Monophyletic
Pa_2_9380	comata	Monophyletic
Pa_2_9380	pseudoanserina	Monophyletic
Pa_2_9380	All	Monophyletic
Pa_2_9940	anserina	Monophyletic
Pa_2_9940	pauciseta	Monophyletic
Pa_2_9940	comata	Monophyletic
Pa_2_9940	pseudoanserina	Monophyletic
Pa_2_9940	All	Monophyletic
Pa_3_11050	anserina	Monophyletic
Pa_3_11050	pauciseta	Monophyletic
Pa_3_11050	comata	Monophyletic
Pa_3_11050	pseudoanserina	Monophyletic
Pa_3_11050	All	Monophyletic
Pa_3_11150	anserina	Monophyletic
Pa_3_11150	pauciseta	Monophyletic
Pa_3_11150	comata	Monophyletic
Pa_3_11150	pseudoanserina	Monophyletic
Pa_3_11150	All	Monophyletic
Pa_3_11440	anserina	Monophyletic
Pa_3_11440	pauciseta	Monophyletic
Pa_3_11440	comata	Monophyletic
Pa_3_11440	pseudoanserina	Monophyletic
Pa_3_11440	All	Monophyletic
Pa_3_11500	anserina	Monophyletic
Pa_3_11500	pauciseta	Monophyletic
Pa_3_11500	comata	Monophyletic
Pa_3_11500	pseudoanserina	Monophyletic
Pa_3_11500	All	Monophyletic
Pa_3_1600	anserina	Monophyletic
Pa_3_1600	pauciseta	Monophyletic
Pa_3_1600	comata	Monophyletic
Pa_3_1600	pseudoanserina	Monophyletic
Pa_3_1600	All	Monophyletic
Pa_3_2640	anserina	Monophyletic
Pa_3_2640	pauciseta	Monophyletic
Pa_3_2640	comata	Monophyletic
Pa_3_2640	pseudoanserina	NA
Pa_3_2640	All	Monophyletic
Pa_3_4200	anserina	Monophyletic
Pa_3_4200	pauciseta	Monophyletic
Pa_3_4200	comata	Monophyletic
Pa_3_4200	pseudoanserina	Monophyletic
Pa_3_4200	All	Monophyletic
Pa_3_4260	anserina	Monophyletic
Pa_3_4260	pauciseta	Monophyletic
Pa_3_4260	comata	Monophyletic
Pa_3_4260	pseudoanserina	Monophyletic
Pa_3_4260	All	Monophyletic
Pa_3_5080	anserina	Monophyletic
Pa_3_5080	pauciseta	Monophyletic
Pa_3_5080	comata	Monophyletic
Pa_3_5080	pseudoanserina	Monophyletic
Pa_3_5080	All	Monophyletic
Pa_3_5390	anserina	Monophyletic
Pa_3_5390	pauciseta	Monophyletic
Pa_3_5390	comata	Monophyletic
Pa_3_5390	pseudoanserina	Monophyletic
Pa_3_5390	All	Monophyletic
Pa_3_5460	anserina	Monophyletic
Pa_3_5460	pauciseta	Monophyletic
Pa_3_5460	comata	Monophyletic
Pa_3_5460	pseudoanserina	Monophyletic
Pa_3_5460	All	Monophyletic
Pa_3_5540	anserina	Monophyletic
Pa_3_5540	pauciseta	Monophyletic
Pa_3_5540	comata	Monophyletic
Pa_3_5540	pseudoanserina	Monophyletic
Pa_3_5540	All	Monophyletic
Pa_3_7600	anserina	Monophyletic
Pa_3_7600	pauciseta	Monophyletic
Pa_3_7600	comata	Monophyletic
Pa_3_7600	pseudoanserina	Not_monophyletic
Pa_3_7600	All	Not_monophyletic
Pa_3_8350	anserina	Monophyletic
Pa_3_8350	pauciseta	Monophyletic
Pa_3_8350	comata	Monophyletic
Pa_3_8350	pseudoanserina	Monophyletic
Pa_3_8350	All	Monophyletic
Pa_3_8630	anserina	Monophyletic
Pa_3_8630	pauciseta	Monophyletic
Pa_3_8630	comata	Monophyletic
Pa_3_8630	pseudoanserina	Monophyletic
Pa_3_8630	All	Monophyletic
Pa_3_9200	anserina	Monophyletic
Pa_3_9200	pauciseta	Monophyletic
Pa_3_9200	comata	Monophyletic
Pa_3_9200	pseudoanserina	Monophyletic
Pa_3_9200	All	Monophyletic
Pa_4_1100	anserina	Not_monophyletic
Pa_4_1100	pauciseta	Not_monophyletic
Pa_4_1100	comata	Not_monophyletic
Pa_4_1100	pseudoanserina	Monophyletic
Pa_4_1100	All	Not_monophyletic
Pa_4_2540	anserina	Monophyletic
Pa_4_2540	pauciseta	Monophyletic
Pa_4_2540	comata	Monophyletic
Pa_4_2540	pseudoanserina	Monophyletic
Pa_4_2540	All	Monophyletic
Pa_4_280	anserina	Monophyletic
Pa_4_280	pauciseta	Monophyletic
Pa_4_280	comata	Monophyletic
Pa_4_280	pseudoanserina	Monophyletic
Pa_4_280	All	Monophyletic
Pa_4_290	anserina	Monophyletic
