Ortholog	Type	TEcov
Pa_0_80	Random	0.020500
Pa_1_10380	Random	0.015000
Pa_1_11160	Random	0.024750
Pa_1_13070	Random	0.060750
Pa_1_13790	Random	0.015000
Pa_1_15090	Random	0.000000
Pa_1_15780	Random	0.008750
Pa_1_15810	Random	0.013500
Pa_1_16990	Random	0.035500
Pa_1_19800	Random	0.000000
Pa_1_19870	Random	0.015750
Pa_1_2130	Random	0.008250
Pa_1_21770	Random	0.000000
Pa_1_23870	Random	0.000000
Pa_1_24450	Random	0.000000
Pa_1_2740	Random	0.021250
Pa_1_410	Random	0.000000
Pa_1_5130	Random	0.000000
Pa_1_5700	Random	0.000000
Pa_2_10990	Random	0.000000
Pa_2_11200	Random	0.043750
Pa_2_1170	Random	0.000000
Pa_2_13990	Random	0.000000
Pa_2_14140	Random	0.010750
Pa_2_3000	Random	0.043250
Pa_2_3545	Random	0.038000
Pa_2_7080	Random	0.000000
Pa_2_7130	Random	0.000000
Pa_2_800	Random	0.000000
Pa_2_8165	Random	0.000000
Pa_2_9380	Random	0.062750
Pa_2_9940	Random	0.021000
Pa_3_11050	Random	0.000000
Pa_3_11150	Random	0.000000
Pa_3_11440	Random	0.031250
Pa_3_11500	Random	0.022250
Pa_3_1600	Random	0.004750
Pa_3_2640	Random	0.000000
Pa_3_4200	Random	0.042250
Pa_3_4260	Random	0.000000
Pa_3_5080	Random	0.020500
Pa_3_5390	Random	0.000000
Pa_3_5460	Random	0.000000
Pa_3_5540	Random	0.000000
Pa_3_7600	Random	0.012250
Pa_3_8350	Random	0.023250
Pa_3_8630	Random	0.009250
Pa_3_9200	Random	0.035750
Pa_4_1100	Random	0.000000
Pa_4_2540	Random	0.000000
Pa_4_280	Random	0.010000
Pa_4_290	Random	0.010000
Pa_4_3470	Random	0.000000
Pa_4_7380	Random	0.021250
Pa_4_7600	Random	0.000000
Pa_5_10620	Random	0.179000
Pa_5_10740	Random	0.017000
Pa_5_11550	Random	0.035500
Pa_5_11813	Random	0.338750
Pa_5_12300	Random	0.067500
Pa_5_1270	Random	0.006000
Pa_5_140	Random	0.000000
Pa_5_1750	Random	0.000000
Pa_5_2690	Random	0.010000
Pa_5_3030	Random	0.021500
Pa_5_3840	Random	0.016500
Pa_5_4730	Random	0.000000
Pa_5_5570	Random	0.008750
Pa_5_5690	Random	0.007250
Pa_5_6300	Random	0.031750
Pa_5_670	Random	0.000000
Pa_5_6830	Random	0.122750
Pa_5_7040	Random	0.000000
Pa_5_8380	Random	0.073250
Pa_6_10690	Random	0.020750
Pa_6_10850	Random	0.000000
Pa_6_1210	Random	0.000000
Pa_6_2760	Random	0.027000
Pa_6_3070	Random	0.047250
Pa_6_3220	Random	0.020500
Pa_6_3340	Random	0.014500
Pa_6_4130	Random	0.003000
Pa_6_4250	Random	0.073250
Pa_6_5720	Random	0.060250
Pa_6_5880	Random	0.055500
Pa_6_6010	Random	0.016500
Pa_6_6860	Random	0.034000
Pa_6_7100	Random	0.034500
Pa_6_7770	Random	0.000000
Pa_6_8460	Random	0.017250
Pa_7_11300	Random	0.019500
Pa_7_11560	Random	0.010000
Pa_7_2690	Random	0.019250
Pa_7_2990	Random	0.000000
Pa_7_3720	Random	0.000000
Pa_7_4040	Random	0.000000
Pa_7_4900	Random	0.240000
Pa_7_7260	Random	0.000000
Pa_7_9193	Random	0.040000
Pa_7_9920	Random	0.008250
nwd5	NLR_HIC	0.065500
nwd2	NLR_HIC	0.000000
nwd3	NLR_HIC	0.593750
nwd1	NLR_HIC	0.007750
het-e	NLR_HIC	0.204500
hnwd3	NLR_HIC	0.431250
nwd6	NLR_HIC	0.448500
nwdp-2	NLR_HIC	0.139000
het-d	NLR_HIC	0.233500
hnwd1	NLR_HIC	0.465000
het-r	NLR_HIC	0.151000
Pa_2_8180	NLR_HIC	0.180250
Pa_3_8560	NLR_HIC	0.012000
Pa_6_7270	NLR_HIC	0.052500
Pa_7_10370	NLR_HIC	0.160500
Pa_2_10340	NLR_HIC	0.046500
Pa_6_7950+Pa_6_7955	NLR_HIC	0.149750
PaPnt1	NLR_HIC	0.242500
Pa_7_3550	NLR_HIC	0.519750
Pa_6_8850+Pa_6_8860	NLR_HIC	0.380750
PaFnt1	NLR_HIC	0.625000
Pa_3_8170	NLR_HIC	0.028750
Pa_2_8310	NLR	0.000000
Pa_4_4680	NLR	0.006500
Pa_5_8530	NLR	0.037250
Pa_2_8450	NLR	0.000000
Pa_5_12630	NLR	0.010500
Pa_6_1090	NLR	0.008500
Pa_5_10920	NLR	0.007250
nwd4	NLR	0.000000
Pa_5_7640	NLR	0.064250
Pa_1_400	NLR	0.390250
Pa_3_9600	NLR	0.000000
Pa_3_9890	NLR	0.244000
Pa_4_1040	NLR	0.000000
Pa_1_7130	NLR	0.000000
Pa_5_640+Pa_5_630	NLR	0.000000
Pa_7_5020	NLR	0.000000
Pa_5_11700	NLR	0.007500
Pa_1_10530	NLR	0.007750
Pa_2_10310	NLR	0.000000
Pa_6_2410+Pa_6_2405	NLR	0.000000
Pa_4_6095+Pa_4_6090	NLR	0.000000
Pa_7_3660	NLR	0.024500
Pa_5_10133+Pa_5_10134	NLR	0.000000
Pa_1_15280+Pa_1_15290	NLR	0.000000
Pa_5_8000	NLR	0.059250
Pa_5_340	NLR	0.115250
Pa_5_12660	NLR	0.000000
Pa_5_7560	NLR	0.000000
Pa_1_11370	NLR	0.050500
Pa_2_4490+Pa_2_4500	NLR	0.000000
Pa_5_8190+Pa_5_8200	NLR	0.000000
PaPlp1	NLR	0.006250
